,joined,kind,link,location,market,name,pitch,raised,size,stage,website,query,type_,tech
19,Nov 16,Startup,https://angel.co/frame-ai,New York City,Customer Support Tools,frame.ai,"
An embedded support system for Slack channels
","$3,300,000",1-10,Seed,frame.ai,artificial intelligence,Startup,Python
20,Mar 14,Startup,https://angel.co/lendyour,Wellington,Business Intelligence,LendYour,"
Smart tools for the innovators.
","$38,700",1-10,Seed,lendyour.com,artificial intelligence,Startup,Python
21,Dec 14,Startup,https://angel.co/stallios,Canada,The World,Stallios,"
Mayca, the world's first virtual human for gaming, enterprise, & healthcare
","$1,500,000",1-10,Seed,stallios.com,artificial intelligence,Startup,Python
22,Jan 15,Startup,https://angel.co/ami-4,Gurgaon,Content Discovery,AwareMonk,"
Quora for Discussions
",-,1-10,Seed,awaremonk.com,artificial intelligence,Startup,Python
23,Jul 15,Startup,https://angel.co/nubama,Lisbon,Architecture,NUBAMA,"
We are the one stop shop for Interior Architecture & Renovation
","$360,000",51-200,Seed,mism-design.com,artificial intelligence,Startup,Python
24,Nov 11,Startup,https://angel.co/cangrade,Cambridge,Human Resources,Cangrade,"
Put Talent Analytics to Work
","$50,000",11-50,Seed,cangrade.com,machine learning,Startup,Python
25,Jul 12,Startup,https://angel.co/fashion-metric,San Francisco,Virtual Reality,Bold Metrics,"
Reduce Returns. Improve Sustainability.
","$4,263,106",11-50,Seed,boldmetrics.com,machine learning,Startup,Python
26,Nov 12,Startup,https://angel.co/interesante,Menlo Park,Content Discovery,Interesante,"
Discover the most interesting things in the world.
","$425,000",1-10,Seed,interesante.com,machine learning,Startup,Python
27,Dec 12,Startup,https://angel.co/enertiv,New York City,Big Data Analytics,Enertiv,"
We make buildings easier to operate, healthier to occupy, and more profitable to own
","$4,290,000",11-50,Seed,enertiv.com,machine learning,Startup,Python
28,Mar 13,Startup,https://angel.co/synapsify,Washington DC,,Synapsify,"
We Accelerate Insight from Unstructured Text
","$1,450,000",1-10,Seed,gosynapsify.com,machine learning,Startup,Python
29,Mar 13,Startup,https://angel.co/operating-analytics,Cambridge,Hospitals,Operating Analytics,"
Forecasting SaaS to help hospitals do more surgeries
","$50,000",1-10,Seed,operatinganalytics.com,machine learning,Startup,Python
30,Jun 14,Startup,https://angel.co/statricks,Menlo Park,Developer APIs,Statricks,"
Ad Classification & Used Goods Price Suggestion API with Price Guides
","$125,000",11-50,Seed,statricks.com,machine learning,Startup,Python
